City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Severo-Kurilsk,RU,42.01,overcast clouds,50.6789,156.125,Kak Doma
1,Cape Town,ZA,69.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
2,East London,ZA,63.3,clear sky,-33.0153,27.9116,Tu Casa
4,Salina,US,84.33,scattered clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
5,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
6,Kruisfontein,ZA,60.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
7,New Norfolk,AU,53.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
8,Olafsvik,IS,47.59,light rain,64.8945,-23.7142,Hotel Olafsvik
9,Nanortalik,GL,45.99,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
10,Sitka,US,51.69,light rain,57.0531,-135.33,Westmark Sitka
12,Punta Arenas,CL,42.12,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
13,Faya,SA,72.12,clear sky,18.3851,42.4509,مقبرة ال مجمل
14,Tecoanapa,MX,88.79,broken clouds,16.5167,-98.75,Hotel Manglares
15,Yarada,IN,85.95,scattered clouds,17.65,83.2667,Jeevan
16,Aklavik,CA,47.07,few clouds,68.2191,-135.0107,Aklavik Inn
18,Griffith,US,87.98,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
20,Mataura,NZ,43.38,overcast clouds,-46.1927,168.8643,Ellie's Villa
21,Pisco,PE,67.01,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
22,Yellowknife,CA,49.32,overcast clouds,62.456,-114.3525,The Explorer Hotel
23,Svetlogorsk,BY,56.91,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
24,Port Elizabeth,ZA,63.1,few clouds,-33.918,25.5701,39 On Nile Guest House
25,Sal Rei,CV,73.96,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
26,Bathsheba,BB,81.91,scattered clouds,13.2167,-59.5167,Atlantis Hotel
27,Hermanus,ZA,66.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Bredasdorp,ZA,59.45,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
29,Tasiilaq,GL,44.76,overcast clouds,65.6145,-37.6368,The Red House
30,Balingasay,PH,82.38,overcast clouds,16.3573,119.8564,Rock Garden Resort
31,Mar Del Plata,AR,57.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
32,Xining,CN,50.68,overcast clouds,36.6167,101.7667,Super Leisure Hotel
33,Geraldton,AU,55.13,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
35,Graaff-Reinet,ZA,55.92,clear sky,-32.2522,24.5308,Rietjiesbos B&B
36,Yeppoon,AU,47.98,few clouds,-23.1333,150.7333,Villa Mar Colina
37,Marsh Harbour,BS,80.38,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
38,Ancud,CL,51.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
39,Bengkulu,ID,73.85,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
40,Bronnoysund,NO,63.12,light rain,65.4625,12.1997,Corner Hotel
41,Sambalpur,IN,86.7,clear sky,21.45,83.9667,Hotel Saket
42,Port Alfred,ZA,65.52,clear sky,-33.5906,26.891,The Halyards Hotel
43,Busselton,AU,48.09,clear sky,-33.65,115.3333,Observatory Guest House
44,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
45,Hambantota,LK,79.66,overcast clouds,6.1241,81.1185,Bungalow 63
46,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Yulara,AU,40.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
49,Gilgit,PK,77.83,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
50,Saint-Philippe,RE,69.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
