City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,2021-06-06 20:09:19,50.6789,156.125,42.01,94,100,8.88,overcast clouds
1,Cape Town,ZA,2021-06-06 20:05:03,-33.9258,18.4232,69.12,25,20,10.22,few clouds
2,East London,ZA,2021-06-06 20:09:21,-33.0153,27.9116,63.3,41,0,9.78,clear sky
3,Ushuaia,AR,2021-06-06 20:08:57,-54.8,-68.3,38.86,87,40,9.22,scattered clouds
4,Salina,US,2021-06-06 20:09:25,38.8403,-97.6114,84.33,51,40,12.66,scattered clouds
5,Grand Gaube,MU,2021-06-06 20:09:26,-20.0064,57.6608,72.37,84,6,3.0,clear sky
6,Kruisfontein,ZA,2021-06-06 20:09:27,-34.0033,24.7314,60.89,21,0,9.04,clear sky
7,New Norfolk,AU,2021-06-06 20:09:29,-42.7826,147.0587,53.92,79,100,3.0,overcast clouds
8,Olafsvik,IS,2021-06-06 20:09:30,64.8945,-23.7142,47.59,86,100,3.78,light rain
9,Nanortalik,GL,2021-06-06 20:09:31,60.1432,-45.2371,45.99,68,100,14.56,overcast clouds
10,Sitka,US,2021-06-06 20:09:33,57.0531,-135.33,51.69,76,90,6.91,light rain
11,Pangoa,PE,2021-06-06 20:09:34,-12.1167,-73.0,81.93,56,7,2.06,clear sky
12,Punta Arenas,CL,2021-06-06 20:09:35,-53.15,-70.9167,42.12,75,0,12.26,clear sky
13,Faya,SA,2021-06-06 20:09:38,18.3851,42.4509,72.12,52,9,0.38,clear sky
14,Tecoanapa,MX,2021-06-06 20:09:39,16.5167,-98.75,88.79,63,57,10.8,broken clouds
15,Yarada,IN,2021-06-06 20:09:41,17.65,83.2667,85.95,75,33,14.09,scattered clouds
16,Aklavik,CA,2021-06-06 20:09:42,68.2191,-135.0107,47.07,44,13,7.63,few clouds
17,Bosaso,SO,2021-06-06 20:09:43,11.2842,49.1816,92.14,42,0,5.88,clear sky
18,Griffith,US,2021-06-06 20:09:45,41.5284,-87.4237,87.98,57,90,4.0,overcast clouds
19,Albany,US,2021-06-06 20:08:47,42.6001,-73.9662,92.44,41,59,9.98,broken clouds
20,Mataura,NZ,2021-06-06 20:09:47,-46.1927,168.8643,43.38,87,88,2.24,overcast clouds
21,Pisco,PE,2021-06-06 20:09:49,-13.7,-76.2167,67.01,72,20,8.05,few clouds
22,Yellowknife,CA,2021-06-06 20:05:41,62.456,-114.3525,49.32,57,100,5.99,overcast clouds
23,Svetlogorsk,BY,2021-06-06 20:09:51,52.6333,29.7333,56.91,93,86,5.82,overcast clouds
24,Port Elizabeth,ZA,2021-06-06 20:06:16,-33.918,25.5701,63.1,87,20,2.3,few clouds
25,Sal Rei,CV,2021-06-06 20:09:54,16.1833,-22.9167,73.96,89,27,19.48,scattered clouds
26,Bathsheba,BB,2021-06-06 20:05:30,13.2167,-59.5167,81.91,73,41,19.73,scattered clouds
27,Hermanus,ZA,2021-06-06 20:09:57,-34.4187,19.2345,66.9,42,0,11.32,clear sky
28,Bredasdorp,ZA,2021-06-06 20:10:00,-34.5322,20.0403,59.45,32,5,6.35,clear sky
29,Tasiilaq,GL,2021-06-06 20:10:01,65.6145,-37.6368,44.76,90,97,3.29,overcast clouds
30,Balingasay,PH,2021-06-06 20:10:06,16.3573,119.8564,82.38,80,100,11.43,overcast clouds
31,Mar Del Plata,AR,2021-06-06 20:06:06,-38.0023,-57.5575,57.09,62,65,1.01,broken clouds
32,Xining,CN,2021-06-06 20:10:08,36.6167,101.7667,50.68,79,100,1.9,overcast clouds
33,Geraldton,AU,2021-06-06 20:10:10,-28.7667,114.6,55.13,93,85,14.14,overcast clouds
34,Chokurdakh,RU,2021-06-06 20:10:11,70.6333,147.9167,36.84,76,100,6.85,overcast clouds
35,Graaff-Reinet,ZA,2021-06-06 20:10:12,-32.2522,24.5308,55.92,31,1,10.11,clear sky
