City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Solok,ID,6/5/21 20:28,-0.7918,100.6593,68.5,87,4,2.3
1,Hasaki,JP,6/5/21 20:28,35.7333,140.8333,66.6,82,100,9.35
2,Albany,US,6/5/21 20:28,42.6001,-73.9662,91.45,44,47,1.01
3,Zhuhai,CN,6/5/21 20:28,22.2769,113.5678,81.05,83,20,3
4,Kavaratti,IN,6/5/21 20:28,10.5669,72.642,82.42,76,100,13.62
5,Butaritari,KI,6/5/21 20:28,3.0707,172.7902,82.27,70,30,5.5
6,Hithadhoo,MV,6/5/21 20:28,-0.6,73.0833,82.38,75,100,12.48
7,New Norfolk,AU,6/5/21 20:28,-42.7826,147.0587,43.57,75,100,2.13
8,Kapaa,US,6/5/21 20:28,22.0752,-159.319,84.18,69,20,5.01
9,Saint George,US,6/5/21 20:28,37.1041,-113.5841,104.79,10,1,5.99
10,Bengkulu,ID,6/5/21 20:28,-3.8004,102.2655,75.49,92,20,4.5
11,Hermanus,ZA,6/5/21 20:28,-34.4187,19.2345,59.9,54,0,7.61
12,Arraial Do Cabo,BR,6/5/21 20:28,-22.9661,-42.0278,75.16,83,0,19.57
13,Hobart,AU,6/5/21 20:28,-42.8794,147.3294,43.92,79,75,1.99
14,Airai,TL,6/5/21 20:28,-8.9266,125.4092,59.05,94,91,3.44
15,Roma,US,6/5/21 20:28,43.2128,-75.4557,86.09,45,1,3
16,Saint-Philippe,RE,6/5/21 20:27,-21.3585,55.7679,74.48,82,12,1.59
17,Lebu,CL,6/5/21 20:28,-37.6167,-73.65,52.25,70,100,11.79
18,Port Moresby,PG,6/5/21 20:28,-9.4431,147.1797,74.62,94,75,8.05
19,Rikitea,PF,6/5/21 20:26,-23.1203,-134.9692,75.42,80,100,11.48
20,Ushuaia,AR,6/5/21 20:25,-54.8,-68.3,33.46,80,40,8.05
21,Laibin,CN,6/5/21 20:28,23.7,109.2667,70.83,71,5,1.1
22,Mataura,NZ,6/5/21 20:28,-46.1927,168.8643,41.67,95,87,1.5
23,Usevya,TZ,6/5/21 20:28,-7.1,31.2333,71.92,62,76,7.74
24,Xiongzhou,CN,6/5/21 20:28,25.1167,114.3,66.88,81,0,0.38
25,Crepy-En-Valois,FR,6/5/21 20:28,49.2336,2.8881,63.5,85,99,5.64
26,Tual,ID,6/5/21 20:28,-5.6667,132.75,81.16,75,100,20.15
27,Salaga,GH,6/5/21 20:28,8.5508,-0.5188,77.16,74,93,5.95
28,Nikolskoye,RU,6/5/21 20:28,59.7035,30.7861,62.49,68,58,3.38
29,Barrow,US,6/5/21 20:24,71.2906,-156.7887,32.02,86,90,9.22
30,Gurupi,BR,6/5/21 20:28,-11.7292,-49.0686,89.91,36,100,4.12
31,Aklavik,CA,6/5/21 20:28,68.2191,-135.0107,39.92,81,90,11.5
32,Vaitape,PF,6/5/21 20:28,-16.5167,-151.75,80.69,74,97,7.61
33,Kargasok,RU,6/5/21 20:28,59.0556,80.8572,53.19,65,78,9.1
34,Ribeira Grande,PT,6/5/21 20:28,38.5167,-28.7,68.4,77,40,5.75
35,Punta Arenas,CL,6/5/21 20:28,-53.15,-70.9167,39.31,87,40,7.87
36,Tasiilaq,GL,6/5/21 20:28,65.6145,-37.6368,39.36,97,100,9.17
37,Khandyga,RU,6/5/21 20:28,62.6667,135.6,62.37,60,97,3.15
38,Narsaq,GL,6/5/21 20:28,60.9167,-46.05,57.42,63,100,11.1
39,Alofi,NU,6/5/21 20:28,-19.0595,-169.9187,75.09,73,95,5.75
40,Mar Del Plata,AR,6/5/21 20:28,-38.0023,-57.5575,60.1,51,0,7
41,Talcahuano,CL,6/5/21 20:28,-36.7167,-73.1167,55.08,62,0,8.05
